Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
My Estimate,US East (N. Virginia),,Application Load Balancer,0,79.57,954.84,USD,Number of Application Load Balancers (2)
My Estimate,US East (N. Virginia),,S3 Standard,0,2.3,27.60,USD,S3 Standard storage (100 GB per month)
My Estimate,US East (N. Virginia),,Data Transfer,0,92.07,1104.84,USD,"DT Inbound: Not selected (0 TB per month), DT Outbound: Internet (1 TB per month)"
My Estimate,US East (N. Virginia),,Amazon RDS for MySQL,0,2572.304,30867.65,USD,"Storage for each RDS instance (General Purpose SSD (gp2)), Storage amount (30 GB), Quantity (2), Instance type (db.m5.4xlarge), Deployment option (Multi-AZ), Pricing strategy (Reserved 1yr No Upfront)"
My Estimate,US East (N. Virginia),,Network Load Balancer,0,50.370000000000005,604.44,USD,"Number of Network Load Balancers (2), Processed bytes per NLB for TLS (1 GB per hour), Average number of new TLS connections (100 per second), Average TLS connection duration (5 seconds)"
My Estimate,US East (N. Virginia),,Amazon EC2,0,3014.72,36176.64,USD,"Operating system (Linux), Quantity (16), Pricing strategy (EC2 Instance Savings Plans 1 Year No Upfront), Storage amount (30 GB), Instance type (r6g.2xlarge)"



Acknowledgement
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services."
